idx,매물ID,상세링크,error
312,41277993,https://fem.encar.com/cars/detail/41277993?advClickPosition=mweb_mhightlight_g62_t9990&listAdvType=mhighlight&type=detail&view_type=normal,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
313,41274694,https://fem.encar.com/cars/detail/41274694?advClickPosition=mweb_mhightlight_g63_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
314,41132543,https://fem.encar.com/cars/detail/41132543?advClickPosition=mweb_mhightlight_g64_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
315,37353944,https://fem.encar.com/cars/detail/37353944?advClickPosition=mweb_mhightlight_g65_t9990&listAdvType=mhighlight&type=detail&view_type=normal,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
316,41590977,https://fem.encar.com/cars/detail/41590977?advClickPosition=mweb_mhightlight_g66_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
317,41587270,https://fem.encar.com/cars/detail/41587270?advClickPosition=mweb_mhightlight_g67_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
318,41576636,https://fem.encar.com/cars/detail/41576636?advClickPosition=mweb_mhightlight_g68_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
319,41554626,https://fem.encar.com/cars/detail/41554626?advClickPosition=mweb_mhightlight_g69_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
320,41491495,https://fem.encar.com/cars/detail/41491495?advClickPosition=mweb_mhightlight_g70_t9990&listAdvType=mhighlight&type=detail&view_type=normal,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
321,41494020,https://fem.encar.com/cars/detail/41494020?advClickPosition=mweb_mhightlight_g71_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
323,41445276,https://fem.encar.com/cars/detail/41445276?advClickPosition=mweb_mhightlight_g73_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
324,41541740,https://fem.encar.com/cars/detail/41541740?advClickPosition=mweb_mhightlight_g74_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
325,41519546,https://fem.encar.com/cars/detail/41519546?advClickPosition=mweb_mhightlight_g75_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
326,41528474,https://fem.encar.com/cars/detail/41528474?advClickPosition=mweb_mhightlight_g76_t9990&listAdvType=mhighlight&type=detail&view_type=normal,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
327,41455620,https://fem.encar.com/cars/detail/41455620?advClickPosition=mweb_mhightlight_g77_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
328,41583423,https://fem.encar.com/cars/detail/41583423?advClickPosition=mweb_mhightlight_g78_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
329,41588311,https://fem.encar.com/cars/detail/41588311?advClickPosition=mweb_mhightlight_g79_t9990&listAdvType=mhighlight&type=detail&view_type=normal,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
330,41567762,https://fem.encar.com/cars/detail/41567762?advClickPosition=mweb_mhightlight_g80_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
331,41495662,https://fem.encar.com/cars/detail/41495662?advClickPosition=mweb_mhightlight_g81_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
332,41283021,https://fem.encar.com/cars/detail/41283021?advClickPosition=mweb_mhightlight_g82_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
333,41461174,https://fem.encar.com/cars/detail/41461174?advClickPosition=mweb_mhightlight_g83_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
334,41590204,https://fem.encar.com/cars/detail/41590204?advClickPosition=mweb_mhightlight_g84_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
335,40802625,https://fem.encar.com/cars/detail/40802625?advClickPosition=mweb_mhightlight_g85_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
336,40597659,https://fem.encar.com/cars/detail/40597659?advClickPosition=mweb_mhightlight_g86_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
337,40523692,https://fem.encar.com/cars/detail/40523692?advClickPosition=mweb_mhightlight_g87_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
338,41243381,https://fem.encar.com/cars/detail/41243381?advClickPosition=mweb_mhightlight_g88_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
339,41048352,https://fem.encar.com/cars/detail/41048352?advClickPosition=mweb_mhightlight_g89_t9990&listAdvType=mhighlight&type=detail&view_type=hs_ad,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
340,41356392,https://fem.encar.com/cars/detail/41356392?advClickPosition=mweb_mhightlight_g90_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
341,41339043,https://fem.encar.com/cars/detail/41339043?advClickPosition=mweb_mhightlight_g91_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
342,41338223,https://fem.encar.com/cars/detail/41338223?advClickPosition=mweb_mhightlight_g92_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
343,41210437,https://fem.encar.com/cars/detail/41210437?advClickPosition=mweb_mhightlight_g93_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
344,38894705,https://fem.encar.com/cars/detail/38894705?advClickPosition=mweb_mhightlight_g94_t9990&listAdvType=mhighlight&type=detail&view_type=checked,"HTTPConnectionPool(host='localhost', port=1233): Read timed out. (read timeout=120)"
