순위,제목,저자,가격
1,나의 완벽한 장례식,조현선저,"17,100"
2,진보를 위한 주식투자,이광수저,"19,800"
3,박곰희 연금 부자 수업,박곰희저,"18,900"
4,괴테는 모든 것을 말했다,스즈키 유이저/이지수역,"15,300"
5,ETS 토익 정기시험 기출문제집 1000 Vol. 5 RC,ETS저,"19,800"
6,ETS 토익 정기시험 기출문제집 1000 Vol. 5 LC,ETS저,"19,800"
7,죽은 왕녀를 위한 파반느 (양장 특별판),박민규저,"18,000"
8,자몽살구클럽,한로로저,"10,800"
9,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성저,"17,100"
10,너를 아끼며 살아라,나태주저,"16,650"
11,모순,양귀자저,"11,700"
12,돈의 방정식,모건 하우절저/박영준역,"25,200"
13,자본주의 시대에서 살아남기 위한 최소한의 경제 공부,백억남(김욱현)저,"25,200"
14,"1,000만 원으로 3년 안에 300만 원 월배당 만들기",인생업(임승현)저,"20,700"
15,위버멘쉬,프리드리히 니체저,"16,020"
16,엄마가 유령이 되었어!,노부미글그림/이기웅역,"10,800"
17,안녕이라 그랬어,김애란저,"15,120"
18,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성저,"16,650"
19,최소한의 삼국지,최태성저/이성원감수,"17,550"
20,싯다르타,헤르만 헤세저/박병덕역,"7,200"
21,2026 심우철 실전 동형 모의고사 Season 2,심우철저,"13,500"
22,사이토 히토리의 어떻게 살 것인가,사이토 히토리저/황미숙역,"11,700"
23,돈의 심리학 (50만 부 기념 뉴 에디션),모건 하우절저/이지연역,"22,320"
24,더블 클릭,알간지저,"17,100"
