순위,제목,저자,가격
1,나의 완벽한 장례식,조현선저,"17,100"
2,진보를 위한 주식투자,이광수저,"19,800"
3,박곰희 연금 부자 수업,박곰희저,"18,900"
4,괴테는 모든 것을 말했다,스즈키 유이저/이지수역,"15,300"
5,ETS 토익 정기시험 기출문제집 1000 Vol. 5 RC,ETS저,"19,800"
6,ETS 토익 정기시험 기출문제집 1000 Vol. 5 LC,ETS저,"19,800"
7,죽은 왕녀를 위한 파반느 (양장 특별판),박민규저,"18,000"
8,자몽살구클럽,한로로저,"10,800"
9,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성저,"17,100"
10,너를 아끼며 살아라,나태주저,"16,650"
11,모순,양귀자저,"11,700"
12,돈의 방정식,모건 하우절저/박영준역,"25,200"
13,자본주의 시대에서 살아남기 위한 최소한의 경제 공부,백억남(김욱현)저,"25,200"
14,"1,000만 원으로 3년 안에 300만 원 월배당 만들기",인생업(임승현)저,"20,700"
15,위버멘쉬,프리드리히 니체저,"16,020"
16,엄마가 유령이 되었어!,노부미글그림/이기웅역,"10,800"
17,안녕이라 그랬어,김애란저,"15,120"
18,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성저,"16,650"
19,최소한의 삼국지,최태성저/이성원감수,"17,550"
20,싯다르타,헤르만 헤세저/박병덕역,"7,200"
21,2026 심우철 실전 동형 모의고사 Season 2,심우철저,"13,500"
22,사이토 히토리의 어떻게 살 것인가,사이토 히토리저/황미숙역,"11,700"
23,돈의 심리학 (50만 부 기념 뉴 에디션),모건 하우절저/이지연역,"22,320"
24,더블 클릭,알간지저,"17,100"
25,사카모토 데이즈 25 더블특전판,스즈키 유우토글그림,"5,850"
26,부처님 말씀대로 살아보니,토니 페르난도저/강정선역,"17,010"
27,캔들차트 하나로 끝내는 추세추종 투자,성승현저,"22,500"
28,코스피 1만 넥스트 레벨,박시동저,"19,800"
29,혼모노,성해나저,"16,200"
30,해커스 토익 기출 VOCA (보카),David Cho저,"11,610"
31,나의 첫 월배당 ETF,김정란저,"19,800"
32,이해찬 회고록,이해찬저,"20,700"
33,설민석의 한국사 대모험 36,"설민석,남이담글/정현희그림/강석화감수","14,400"
34,코스모스,칼 에드워드 세이건저/홍승수역,"19,800"
35,향기로운 꽃은 늠름하게 핀다 18 더블특전판,미카미 사카글그림,"5,400"
36,운명을 보는 기술,박성준저,"16,920"
37,교사를 지키는 단단한 학급경영,이종혁저,"16,200"
38,어른의 행복은 조용하다,태수저,"16,020"
39,2026 써니 행정법총론 실전동형 모의고사,박준철편저,"14,400"
40,"2026 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",최태성저,"19,800"
41,주식투자 무작정 따라하기,윤재수저,"22,500"
42,절창 切創,구병모저,"16,200"
43,아주 작은 습관의 힘 (50만 부 기념 스페셜 에디션),제임스 클리어저/이한이역,"16,200"
44,2026 문동균 한국사 국가직 대비 실전 봉투 모의고사,문동균편저,"11,700"
45,2026 심우철 실전 동형 모의고사 Season 1,심우철저,"13,500"
46,내가 돈을 벌고 있다는 착각,commonD저,"17,820"
47,최소한의 한국사,최태성저,"16,200"
48,내 심장을 쏴라,정유정저,"16,200"
49,2026 선재국어 결승선 봉투 모의고사,이선재편저,"25,200"
50,2026 문동균 한국사 문단속 적중 최종병기 FINAL 모의고사,문동균편저,"14,400"
51,내 친구는 왜 그럴까?,최현주글/이화경그림,"15,120"
52,급류,정대건저,"12,600"
53,김재우의 기본 동사 100,김재우저,"19,800"
54,다크 심리학,다크 사이드 프로젝트저,"19,710"
55,해커스 일본어 첫걸음 : 일본어 기초 20일 독학 완성!,해커스 일본어연구소저,"12,510"
56,SQL 자격검정 실전문제,한국데이터진흥원저,"17,460"
57,렛뎀 이론,멜 로빈스저/윤효원역,"18,000"
58,니체의 초월자,프리드리히 니체저/김철편역,"15,210"
59,ETS 토익 단기공략 750+ (LC+RC),ETS저,"17,550"
60,프로젝트 헤일메리 (영화 특별판),앤디 위어저/강동혁역,"19,800"
61,여덟 단어,박웅현저,"15,300"
62,데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),데일 카네기저/임상훈역,"10,350"
63,브람스를 좋아하세요...,프랑수아즈 사강저/김남주역,"9,000"
64,긴긴밤,루리글그림,"11,250"
65,블루 아카이브 공식 4컷 청춘? 일상! 블루 아카이브 특별판,돈미니저/블루 아카이브원저,"47,700"
66,2026 문동균 한국사 D-30 문단속 모의고사,문동균편저,"14,400"
67,인생을 위한 최소한의 생각,"신영준,고영성저","17,820"
68,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키저/권영주역,"12,600"
69,이게 되네? 제미나이 완전 미친 활용법 81제,오힘찬저,"21,600"
70,세이노의 가르침,세이노(SayNo)저,"6,480"
71,단다단 19,타츠 유키노부글그림,"5,400"
72,우리는 언제나 다시 만나,윤여림글/안녕달그림,"10,800"
73,데미안,헤르만 헤세저/전영애역,"7,200"
74,체인소 맨 22,후지모토 타츠키글그림,"5,400"
75,이기적 유전자 The Selfish Gene,"리처드 도킨스저/홍영남,이상임역","18,000"
76,2026 황철곤 행정학 실전동형 모의고사 SEASON 1,황철곤저,"14,400"
77,떠난 것은 돌아오지 않는다,줄리언 반스저/정영목역,"16,200"
78,신뢰 게임,"현순엽,김진국,박정식저","22,000"
79,너를 미워할 시간에 나를 사랑하기로 했다,윤서진저,"16,920"
80,세종의 나라 1,김진명저,"19,800"
81,나쁜 일이 있어도 나쁜 날은 아니야,정문정글/피도크그림/천근아감수,"15,120"
82,부의 인문학 (20만부 기념 개정증보판),브라운스톤(우석)저,"15,300"
83,인간 실격,다자이 오사무저,"8,100"
84,의사 어벤저스 25,고희정글/조승연그림/류정민감수,"14,220"
85,Again! 뒤집어본 영문법,오성호저,"13,410"
86,할매,황석영저,"15,120"
87,원피스 ONE PIECE 113,오다 에이이치로글그림,"5,850"
88,돈의 속성 400쇄 리커버,김승호저,"16,020"
89,쇼펜하우어 인생수업 (30만 부 기념 개정증보판),쇼펜하우어저 /김지민역,"15,750"
90,소년이 온다,한강저,"13,500"
91,Go Go 카카오프렌즈 39 칠레,김미영글/김정한그림,"15,210"
92,나는 소망한다 내게 금지된 것을,양귀자저,"13,500"
93,2026 심승아 Simple·Detail 소방학개론 심봉사 심승아 봉투 모의고사,심승아저,"8,100"
94,ETF 투자의 모든 것,문일호저,"18,900"
95,편안함의 습격,마이클 이스터저/김원진역,"19,800"
96,일본 광고 카피 도감,오하림저,"16,920"
97,세종의 나라 2,김진명저,"19,800"
98,최상위권의 생기부,"정성민,김혜린,임혁기저","40,500"
99,어른의 품격을 채우는 100일 필사 노트,김종원저,"18,000"
100,흔한남매 21,흔한남매원저/백난도글/유난희그림/흔한컴퍼니감수,"15,120"
101,해커스 보카 Hackers Vocabulary,David Cho저,"15,210"
102,은애하는 도적님아 대본집 세트,이선저,"47,700"
103,해커스 일본어 첫걸음 히라가나 가타카나 쓰기노트,해커스 일본어연구소저,"7,200"
104,데일리 필로소피,"라이언 홀리데이,스티븐 핸슬먼저/장원철역","16,200"
105,쾌적한 사회의 불쾌함,구마시로 도루저/이정미역,"18,900"
106,2026 이유진 국어 백일기도 모의고사 [結(결) 적중],이유진편저,"30,600"
107,달러 자산 1억으로 평생 월급 완성하라 (2026 투자 전략 특별판),채부심(채상욱)저,"18,900"
108,행복할 거야 이래도 되나 싶을 정도로,일홍저,"16,200"
109,기적의 초등 신문 2026,"강버들,민경원,이유정,채윤경,임소연글","17,820"
110,2026 선재국어 출발선 봉투 모의고사,이선재편저,"25,200"
111,부모는 가장 좋은 입시 멘토다,박성오저,"16,920"
112,1984,조지 오웰저/정회성역,"9,900"
113,2026 유휘운 행정법총론 실전동형 모의고사,유휘운편저,"9,900"
114,절대수익 우량주 매매법,성경호저,"35,100"
115,규칙파괴자,데이비드 가드너저/김태훈역,"22,500"
116,하루 한 장 나의 어휘력을 위한 필사 노트,유선경저,"21,420"
117,스킵과 로퍼 11 더블 특전판,타카마츠 미사키글그림/신혜선역,"5,400"
118,ETS 토익기출 파트별 VOCA 보카,ETS저,"11,700"
119,어른의 그릇,조윤제저,"17,100"
120,이방인,알베르 까뮈저/김화영역,"9,000"
