종목코드,종목명,종가,대비,시가,고가,저가,현물가,정산가,거래량,거래대금,미결제약정
"B0165420","코스피200 C 202605   420.0 (야간)",,,,,,"0.00",,"0","0.0","17"
"B0165420","코스피200 C 202605   420.0 (주간)",,,,,,"0.00",,"0","0.0","17"
"B0165422","코스피200 C 202605   422.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165422","코스피200 C 202605   422.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165425","코스피200 C 202605   425.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165425","코스피200 C 202605   425.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165427","코스피200 C 202605   427.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165427","코스피200 C 202605   427.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165430","코스피200 C 202605   430.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165430","코스피200 C 202605   430.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165432","코스피200 C 202605   432.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165432","코스피200 C 202605   432.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165435","코스피200 C 202605   435.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165435","코스피200 C 202605   435.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165437","코스피200 C 202605   437.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165437","코스피200 C 202605   437.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165440","코스피200 C 202605   440.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165440","코스피200 C 202605   440.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165442","코스피200 C 202605   442.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165442","코스피200 C 202605   442.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165445","코스피200 C 202605   445.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165445","코스피200 C 202605   445.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165447","코스피200 C 202605   447.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165447","코스피200 C 202605   447.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165450","코스피200 C 202605   450.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165450","코스피200 C 202605   450.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165452","코스피200 C 202605   452.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165452","코스피200 C 202605   452.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165455","코스피200 C 202605   455.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165455","코스피200 C 202605   455.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165457","코스피200 C 202605   457.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165457","코스피200 C 202605   457.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165460","코스피200 C 202605   460.0 (야간)",,,,,,"0.00",,"0","0.0","7"
"B0165460","코스피200 C 202605   460.0 (주간)",,,,,,"0.00",,"0","0.0","7"
"B0165462","코스피200 C 202605   462.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165462","코스피200 C 202605   462.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165465","코스피200 C 202605   465.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165465","코스피200 C 202605   465.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165467","코스피200 C 202605   467.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165467","코스피200 C 202605   467.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165470","코스피200 C 202605   470.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165470","코스피200 C 202605   470.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165472","코스피200 C 202605   472.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165472","코스피200 C 202605   472.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165475","코스피200 C 202605   475.0 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165475","코스피200 C 202605   475.0 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165477","코스피200 C 202605   477.5 (야간)",,,,,,"0.00",,"0","0.0","0"
"B0165477","코스피200 C 202605   477.5 (주간)",,,,,,"0.00",,"0","0.0","0"
"B0165480","코스피200 C 202605   480.0 (야간)",,,,,,"0.00",,"0","0.0","1"
"B0165480","코스피200 C 202605   480.0 (주간)",,,,,,"0.00",,"0","0.0","1"
"B0165482","코스피200 C 202605   482.5 (야간)",,,,,,"0.00",,"0","0.0","0"
